"","Year","Area","Street","Street.2","Strange.HTML"
"36",2011,"","Bulls Head Ph str. Marys Row","Bulls Head Ph Str Marys Row","&lt;html&gt;"
"37",2011,"","Bushbury rd. Kitts Green","Bushbury str. Kitts Green",""
"38",2011,"","Chartice rd.","Chartice str.",""
"39",2011,"","Chestnut rd.","Chestnut str.",""
"40",2011,"","Church str. Stechford","Church Str Stechford",""
"41",2011,"","Church rd. Sheldon","Church str. Sheldon",""
"42",2011,"","Clifford str. Dorridge","Clifford Str Dorridge",""
"43",2011,"","Clock Lane","Clock ln.",""
"44",2011,"","Colonial rd. Bordesley Green","Colonial str. Bordesley Green",""
"45",2011,"","Corporation str. Birmingham","Corporation Str Birmingham",""
"46",2011,"","Corporation str.","Corporation Str",""
"47",2011,"","Coventry str. Small Heath","Coventry Str Small Heath",""
"48",2011,"","Coventry str. Small Heath Bham","Coventry Str Small Heath Bham",""
"49",2011,"","Coventry rd.","Coventry str.",""
"50",2011,"","Coventry rd.","Coventry str.",""
"51",2011,"","Coventry rd.","Coventry str.",""
"52",2011,"","Coventry rd.","Coventry str.",""
"53",2011,"","Coventry rd.","Coventry str.",""
"54",2011,"","Coventry rd. Small Heath","Coventry str. Small Heath",""
"55",2011,"","Coventry rd. Small Heath","Coventry str. Small Heath",""
"56",2011,"","Coventry rd. Small Heath","Coventry str. Small Heath",""
"57",2011,"","Cranes Park rd.","Cranes Park str.",""
"58",2011,"","Cranes Park rd. Sheldon","Cranes Park str. Sheldon",""
"59",2011,"","Crossfield rd.","Crossfield str.",""
"60",2011,"","Crossfields rd. Kitts Green","Crossfields str. Kitts Green",""
"61",2011,"","Cxhurch str. Stechford Bham","Cxhurch Str Stechford Bham",""
"62",2011,"","Digbeth High str.","Digbeth High Str",""
"63",2011,"","Edgbaston rd.","Edgbaston str.",""
"64",2011,"","Edward rd. Moseley","Edward str. Moseley",""
"65",2011,"","Fighting Cox Ph",NA,""
"66",2011,"","Foremans rd. Sparkhill","Foremans str. Sparkhill",""
"67",2011,"","Front Office Kings Heath",NA,""
"68",2011,"","Garretts Green rd. Garretts Green","Garretts Green str. Garretts Green",""
"69",2011,"","Giles Close",NA,""
"70",2011,"","Giles Close Stechford",NA,""
"71",2011,"","Glazedale rd.","Glazedale str.",""
"72",2011,"","Gospel Farm rd.","Gospel Farm str.",""
"73",2011,"","Gospel Farm rd.","Gospel Farm str.",""
"74",2011,"","Gospel Lane","Gospel ln.",""
"75",2011,"","Gospel Lane","Gospel ln.",""
"76",2011,"","Gospel Lane","Gospel ln.",""
"77",2011,"","Gospel Lane Acocks Green","Gospel ln. Acocks Green",""
"78",2011,"","Grace Church Sutton Coldfield",NA,""
"79",2011,"","Great Hampton str.","Great Hampton Str",""
"80",2011,"","Green Lane","Green ln.",""
"81",2011,"","Greswell Lane Shard End","Greswell ln. Shard End",""
"82",2011,"","Harlequin Drive Mosley",NA,""
"83",2011,"","Haslucks Green rd.","Haslucks Green str.",""
"84",2011,"","Hazeldean rd.","Hazeldean str.",""
"85",2011,"","Heartlands Hospital",NA,""
"86",2011,"","Heartlands Hospital",NA,""
"87",2011,"","Heartlands Hospital A E",NA,""
"88",2011,"","Heartlands Hospital A E",NA,""
"89",2011,"","Heartlands Hospital A E",NA,""
"90",2011,"","Hepben Grove",NA,""
"91",2011,"","Herrick rd.","Herrick str.",""
"92",2011,"","Herrick rd. Washwood Heath","Herrick str. Washwood Heath",""
"93",2011,"","Herrick rd. Washwood Heath","Herrick str. Washwood Heath",""
"94",2011,"","High str. Solihull","High Str Solihull",""
"95",2011,"","High str. Kings Heath","High Str Kings Heath",""
"96",2011,"","High str. Kings Heath","High Str Kings Heath",""
"97",2011,"","High str. Kings Heath","High Str Kings Heath",""
"98",2011,"","Hob Moor rd. At Starbank rd.","Hob Moor str. At Starbank str.",""
"99",2011,"","Holloway Head Bham City Centre",NA,""
"100",2011,"","Hollywell rd.","Hollywell str.",""
"101",2011,"","Home Address",NA,""
"102",2011,"","Home Address",NA,""
"103",2011,"","Homer str.","Homer Str",""
"104",2011,"","Hunters Moon Public House",NA,""
"105",2011,"","Hurst str.","Hurst Str",""
"106",2011,"","Hurst str.","Hurst Str",""
"107",2011,"","Hurst str.","Hurst Str",""
"108",2011,"","Hurst str. Birmingham","Hurst Str Birmingham",""
"109",2011,"","Kings Heath High str.","Kings Heath High Str",""
"110",2011,"","Knowle str. Small Heath Bham","Knowle Str Small Heath Bham",""
"111",2011,"","Ladypool rd.","Ladypool str.",""
"112",2011,"","Ladypool rd.","Ladypool str.",""
"113",2011,"","Ladywell Walk",NA,""
"114",2011,"","Lea Hall str.","Lea Hall Str",""
"115",2011,"","Lea Hall str.","Lea Hall Str",""
"116",2011,"","Lea Village Stechford",NA,""
"117",2011,"","Lenches Close Mosley",NA,""
"118",2011,"","Lime Tree rd.","Lime Tree str.",""
"119",2011,"","Lode Lane Hermitage rd.","Lode ln. Hermitage str.",""
"120",2011,"","Long str.","Long Str",""
"121",2011,"","Long str. Sparkhill","Long Str Sparkhill",""
"122",2011,"","Longbridge Lane","Longbridge ln.",""
"123",2011,"","Longmeadow Crescent Shard End Bham",NA,""
"124",2011,"","Maccadown Lane","Maccadown ln.",""
"125",2011,"","Masshouse Lane","Masshouse ln.",""
"126",2011,"","Meadwaym Stechford",NA,""
"127",2011,"","Mickleover rd. Bromford","Mickleover str. Bromford",""
"128",2011,"","Moorcroft rd.","Moorcroft str.",""
"129",2011,"","Moseley rd.","Moseley str.",""
"130",2011,"","Moseley rd.","Moseley str.",""
"131",2011,"","Moseley rd.","Moseley str.",""
"132",2011,"","Moseley rd.","Moseley str.",""
"133",2011,"","Moseley Village",NA,""
"134",2011,"","Moseley Village",NA,""
"135",2011,"","Moseley Village Alcester rd.","Moseley Village Alcester str.",""
"136",2011,"","Mosley All Services Club Church rd. Moseley","Mosley All Services Club Church str. Moseley",""
"137",2011,"","Nearlands Close Quinton",NA,""
"138",2011,"","New str.","New Str",""
"139",2011,"","Northfield High str.","Northfield High Str",""
"140",2011,"","O S Behans Highfield rd. Billesley","O S Behans Highfield str. Billesley",""
"141",2011,"","O S The Junction Mosley Village",NA,""
"142",2011,"","O S Washwood Heath rd.","O S Washwood Heath str.",""
"143",2011,"","Oakhill rd. Acocks Green","Oakhill str. Acocks Green",""
"144",2011,"","Opp White Hart Lane Cooks Lane","Opp White Hart ln. Cooks ln.",""
"145",2011,"","Opposite Aldi Stratford rd.","Opposite Aldi Stratford str.",""
"146",2011,"","Outside Java Lounge Alcester rd.","Outside Java Lounge Alcester str.",""
"147",2011,"","Outside O2 Academy Night Club B Ham City Centre",NA,""
"148",2011,"","Outside Raven Public House",NA,""
"149",2011,"","Packington ave. Shard End",NA,""
"150",2011,"","Park Off Hob Moor rd.","Park Off Hob Moor str.",""
"151",2011,"","Parkhall Croft",NA,""
"152",2011,"","Pear Tree Ph",NA,""
"153",2011,"","Police Station",NA,""
"154",2011,"","Police Station Stechford",NA,""
"155",2011,"","Poplar rd.","Poplar str.",""
"156",2011,"","Poplar rd.","Poplar str.",""
"157",2011,"","Poplar rd. Solihull","Poplar str. Solihull",""
"158",2011,"","Poplar rd. Solihull","Poplar str. Solihull",""
"159",2011,"","Preston rd.","Preston str.",""
"160",2011,"","Priory rd. Hall Green","Priory str. Hall Green",""
"161",2011,"","Prospect rd.","Prospect str.",""
"162",2011,"","Queenswood rd.","Queenswood str.",""
"163",2011,"","Rear Of Boots High str.","Rear Of Boots High Str",""
"164",2011,"","Reddings Lane Tsyley","Reddings ln. Tsyley",""
"165",2011,"","Richmond Primary Care Centre Richmond rd. Stechford","Richmond Primary Care Centre Richmond str. Stechford",""
"166",2011,"","Ring rd. Stourbridge","Ring str. Stourbridge",""
"167",2011,"","Sainsburys Wawrick rd.","Sainsburys Wawrick str.",""
"168",2011,"","Sainsburys Alcester rd. South","Sainsburys Alcester str. South",""
"169",2011,"","Sandford rd. Moseley","Sandford str. Moseley",""
"170",2011,"","Sarehole Mill",NA,""
"171",2011,"","Sedgemere rd.","Sedgemere str.",""
"172",2011,"","Shirley rd.","Shirley str.",""
"173",2011,"","Shirley rd.","Shirley str.",""
"174",2011,"","Snow Hill",NA,""
"175",2011,"","Solihull Lane","Solihull ln.",""
"176",2011,"","str. Mary S rd. Moseley","Str Mary S str. Moseley",""
"177",2011,"","str. Marys Row","Str Marys Row",""
"178",2011,"","Station rd.","Station str.",""
"179",2011,"","Station Way Birmingham International Rail Station",NA,""
"180",2011,"","Stechford Front Office",NA,""
"181",2011,"","Stechford P S",NA,""
"182",2011,"","Stechford Retail Park",NA,""
"183",2011,"","Stonehenge Croft Druids Heath",NA,""
"184",2011,"","Stoney Lane","Stoney ln.",""
"185",2011,"","Stoney Lane","Stoney ln.",""
"186",2011,"","Stoney Lane","Stoney ln.",""
"187",2011,"","Stratford Heath Spark Hill Birmingham",NA,""
"188",2011,"","Stratford rd.","Stratford str.",""
"189",2011,"","Stratford rd.","Stratford str.",""
"190",2011,"","Stratford rd.","Stratford str.",""
"191",2011,"","Stratford rd. Hall Green","Stratford str. Hall Green",""
"192",2011,"","Stratford Roads",NA,""
"193",2011,"","Stuart rd. Stechford","Stuart str. Stechford",""
"194",2011,"","Talbort str.","Talbort Str",""
"195",2011,"","Taunton rd.","Taunton str.",""
"196",2011,"","Tavistock rd.","Tavistock str.",""
"197",2011,"","The ave.",NA,""
"198",2011,"","The Paer Tree Pub",NA,""
"199",2011,"","Trafalger rd.","Trafalger str.",""
"200",2011,"","Wake Green rd.","Wake Green str.",""
"201",2011,"","Ward End rd.","Ward End str.",""
"202",2011,"","Warwick rd.","Warwick str.",""
"203",2011,"","Warwick rd.","Warwick str.",""
"204",2011,"","Warwick rd.","Warwick str.",""
"205",2011,"","Warwick rd.","Warwick str.",""
"206",2011,"","Warwick rd.","Warwick str.",""
"207",2011,"","Warwick rd. Tysley","Warwick str. Tysley",""
"208",2011,"","Wash Lane","Wash ln.",""
"209",2011,"","Washford Heath rd.","Washford Heath str.",""
"210",2011,"","Washwood Heath Pub",NA,""
"211",2011,"","Washwood Heath str. Washwood Heath Bham","Washwood Heath Str Washwood Heath Bham",""
"212",2011,"","Washwood Heath rd.","Washwood Heath str.",""
"213",2011,"","Washwood Heath rd.","Washwood Heath str.",""
"214",2011,"","Washwood Heath rd.","Washwood Heath str.",""
"215",2011,"","Washwood Heath rd.","Washwood Heath str.",""
"216",2011,"","Watery Lane Middleway Birmingham","Watery ln. Middleway Birmingham",""
"217",2011,"","Wawrick rd.","Wawrick str.",""
"218",2011,"","Welshfarm rd. Quinton","Welshfarm str. Quinton",""
"219",2011,"","Westley rd.","Westley str.",""
"220",2011,"","Westley rd. Acocks Green","Westley str. Acocks Green",""
"221",2011,"","White Hart Public House",NA,""
"222",2011,"","White Hart Public House",NA,""
"223",2011,"","Whiteheart Pub Gressell Lane","Whiteheart Pub Gressell ln.",""
"224",2011,"","William Hill Bookmakers Washwood Heath rd.","William Hill Bookmakers Washwood Heath str.",""
"225",2011,"","William Hill Bookmakers Washwood Heath rd.","William Hill Bookmakers Washwood Heath str.",""
"226",2011,"","William Hill Washwood Heath rd.","William Hill Washwood Heath str.",""
"227",2011,"","Windward rd.","Windward str.",""
"228",2011,"","Windward rd.","Windward str.",""
"229",2011,"","Wood End rd. Erdington","Wood End str. Erdington",""
"230",2011,"","Woodbridge rd. Moseley","Woodbridge str. Moseley",""
"231",2011,"","Wright str.","Wright Str",""
"232",2011,"","Yardley Green rd.","Yardley Green str.",""
"233",2011,"","Yardley rd. Acocks Green","Yardley str. Acocks Green",""
"234",2011,"","Yardley Wood rd.","Yardley Wood str.",""
"235",2011,"","Yardley Wood rd.","Yardley Wood str.",""
"236",2011,"","Yew Tree Car Park",NA,""
"237",2011,"","Yew Tree Lane","Yew Tree ln.",""
"238",2011,"","Yew Tree Public House Car Park",NA,""
"239",2011,"","Armada Pub Slade rd. Erdington Birmingham","Armada Pub Slade str. Erdington Birmingham",""
"240",2011,"","Armarda Pub Gravelly Hill",NA,""
"241",2011,"","Armarda Pub Gravelly Hill",NA,""
"242",2011,"","Badgers Bank rd.","Badgers Bank str.",""
"243",2011,"","Baldmoor Lake rd. Erdington Birmingham","Baldmoor Lake str. Erdington Birmingham",""
"244",2011,"","Bandywood str. Kingstanding","Bandywood Str Kingstanding",""
"245",2011,"","Beckenham rd.","Beckenham str.",""
"246",2011,"","Beeches Walk",NA,""
"247",2011,"","Birmingham str.","Birmingham Str",""
"248",2011,"","Birmingham str.","Birmingham Str",""
"249",2011,"","Birmingham str. Sc","Birmingham Str Sc",""
"250",2011,"","Birmingham rd.","Birmingham str.",""
"251",2011,"","Birmingham rd.","Birmingham str.",""
"252",2011,"","Birmingham rd. Sutton","Birmingham str. Sutton",""
"253",2011,"","Birmingham rd. Erdington","Birmingham str. Erdington",""
"254",2011,"","Birmingham rd. Sutton Coldfield","Birmingham str. Sutton Coldfield",""
"255",2011,"","Birmingham rd. Sutton Coldfield","Birmingham str. Sutton Coldfield",""
"256",2011,"","Bowling Green Close",NA,""
"257",2011,"","Bracebridge rd. Erdington","Bracebridge str. Erdington",""
"258",2011,"","Brassington ave.",NA,""
"259",2011,"","Bromford Lane","Bromford ln.",""
"260",2011,"","Bromford Lane Erdington B Ham","Bromford ln. Erdington B Ham",""
"261",2011,"","Brookvale Park rd.","Brookvale Park str.",""
"262",2011,"","Carhampton rd. Falcon Lodge Sutton Colfield","Carhampton str. Falcon Lodge Sutton Colfield",""
"263",2011,"","Carshalton rd.","Carshalton str.",""
"264",2011,"","Carshorlton rd.","Carshorlton str.",""
"265",2011,"","Chester str.","Chester Str",""
"266",2011,"","Chester rd.","Chester str.",""
"267",2011,"","Chester rd. Halls Garden Centre","Chester str. Halls Garden Centre",""
"268",2011,"","Church str. At Chester str.","Church Str At Chester Str",""
"269",2011,"","College rd. Kingstanding B Ham","College str. Kingstanding B Ham",""
"270",2011,"","College rd. Kingstanding B Ham","College str. Kingstanding B Ham",""
"271",2011,"","Copshill Court Mount View Sutton Coldfield",NA,""
"272",2011,"","Dovedale rd. Erdington B Ham","Dovedale str. Erdington B Ham",""
"273",2011,"","Downside rd. Erdington B Ham","Downside str. Erdington B Ham",""
"274",2011,"","Eachelhurt rd. Erdington","Eachelhurt str. Erdington",""
"275",2011,"","Erdington Hall rd.","Erdington Hall str.",""
"276",2011,"","Erdington Hall rd.","Erdington Hall str.",""
"277",2011,"","Erdington High str.","Erdington High Str",""
"278",2011,"","Fentham rd. Erdington B Ham","Fentham str. Erdington B Ham",""
"279",2011,"","Finchley rd.","Finchley str.",""
"280",2011,"","Finchley rd. Kingstanding B Ham","Finchley str. Kingstanding B Ham",""
"281",2011,"","George Frederick rd.","George Frederick str.",""
"282",2011,"","Golden Pond Take Away Εδύε Boldmere rd.","Golden Pond Take Away Εδύε Boldmere str.",""
"283",2011,"","Good Hope Hospital",NA,""
"284",2011,"","Gracechurch Centre",NA,""
"285",2011,"","Gracechurch Centre Outside Supercigs",NA,""
"286",2011,"","Gracechurch Shopping Centre Sutton Coldfield",NA,""
"287",2011,"","Grassed Area Pype Hayes Park",NA,""
"288",2011,"","Gravelley Lane","Gravelley ln.",""
"289",2011,"","Gravelley Lane","Gravelley ln.",""
"290",2011,"","Gravelley Lane","Gravelley ln.",""
"291",2011,"","Gravelly Lane Erdington Birmingham","Gravelly ln. Erdington Birmingham",""
"292",2011,"","Hairy Lemon Pub Sutton Coldfield",NA,""
"293",2011,"","Hairy Lemon Pub Sutton Coldfield",NA,""
"294",2011,"","Hermatige rd.","Hermatige str.",""
"295",2011,"","Hermatige rd.","Hermatige str.",""
"296",2011,"","Hermitage Drive",NA,""
"297",2011,"","High str.","High Str",""
"298",2011,"","High str. Erdington","High Str Erdington",""
"299",2011,"","High str. Erdington","High Str Erdington",""
"300",2011,"","High str. Erdington","High Str Erdington",""
"301",2011,"","High str. S C","High Str S C",""
"302",2011,"","High str. S C","High Str S C",""
"303",2011,"","Hight str. Erdington","Hight Str Erdington",""
"304",2011,"","Hunton Hill",NA,""
"305",2011,"","Kfc Retail Outlet Erdington High str.","Kfc Retail Outlet Erdington High Str",""
"306",2011,"","Kingsbury rd. Erdington B Ham","Kingsbury str. Erdington B Ham",""
"307",2011,"","Kingstanding Circle",NA,""
"308",2011,"","Ladywell Walk Birmingham",NA,""
"309",2011,"","Landsdown rd.","Landsdown str.",""
"310",2011,"","Lichfield rd. Mere Green","Lichfield str. Mere Green",""
"311",2011,"","Lichfield rd. Sutton Coldfield","Lichfield str. Sutton Coldfield",""
"312",2011,"","Lindridge rd. Sutton Coldfield","Lindridge str. Sutton Coldfield",""
"313",2011,"","Little Aston Lane","Little Aston ln.",""
"314",2011,"","Longford rd.","Longford str.",""
"315",2011,"","Longford rd. Kingstanding B Ham","Longford str. Kingstanding B Ham",""
"316",2011,"","Lower Parade",NA,""
"317",2011,"","Lower Parade",NA,""
"318",2011,"","Lower Parade",NA,""
"319",2011,"","Lower Parade",NA,""
"320",2011,"","Lower Parade",NA,""
"321",2011,"","Lower Parade",NA,""
"322",2011,"","Lower Parade",NA,""
"323",2011,"","Lower Parade",NA,""
"324",2011,"","Lower Parade",NA,""
"325",2011,"","Lower Parade",NA,""
"326",2011,"","Lower Parade",NA,""
"327",2011,"","Lower Parade",NA,""
"328",2011,"","Lower Parade",NA,""
"329",2011,"","Lower Parade",NA,""
"330",2011,"","Lower Parade",NA,""
"331",2011,"","Lower Parade",NA,""
"332",2011,"","Lower Parade",NA,""
"333",2011,"","Lower Parade",NA,""
"334",2011,"","Lower Parade",NA,""
"335",2011,"","Lower Parade Sc",NA,""
"336",2011,"","Lower Parade Sutton",NA,""
"337",2011,"","Lower Parade Sutton Coldfield",NA,""
"338",2011,"","Lower Parade",NA,""
"339",2011,"","Lower Parade Suton Coldfield",NA,""
"340",2011,"","Lower Parade Sutton Coldfield",NA,""
"341",2011,"","Lower Parade Sutton Coldfield",NA,""
"342",2011,"","Lower Parade Sutton Coldfield",NA,""
"343",2011,"","Lower Parade Sutton Coldfield",NA,""
"344",2011,"","Lower Parade Sutton Coldfield",NA,""
"345",2011,"","Lower Parade Sutton Coldfield",NA,""
"346",2011,"","Lower Parade Sutton Coldfield",NA,""
"347",2011,"","Lower Parade Sutton Coldfield",NA,""
"348",2011,"","Lower Parade Sutton Coldfield",NA,""
"349",2011,"","Lower Parade Sutton Coldfield",NA,""
"350",2011,"","Lower Parade Sutton Coldfield",NA,""
"351",2011,"","Lower Parade Sutton Coldfield",NA,""
"352",2011,"","Lower Parade Sutton Coldfield",NA,""
"353",2011,"","Lower Parade Sutton Coldfield",NA,""
"354",2011,"","Lower Parade Sutton Coldfield",NA,""
"355",2011,"","Lower Parade Sutton Coldfield Town Centre",NA,""
"356",2011,"","Lower Parade Sutton Coldfield Town Centre",NA,""
"357",2011,"","Lower Parade Sutton Coldfield",NA,""
"358",2011,"","Lydham Close",NA,""
"359",2011,"","Mill str.","Mill Str",""
"360",2011,"","Mill str. Sutton Coldfield","Mill Str Sutton Coldfield",""
"361",2011,"","Moor Hall Hotel",NA,""
"362",2011,"","Mulberry Court Carpark Kings rd. Kingstanding Birmingham","Mulberry Court Carpark Kings str. Kingstanding Birmingham",""
"363",2011,"","Newhall Walk Car Park",NA,""
"364",2011,"","Newhall Walk Car Park",NA,""
"365",2011,"","O S H A",NA,""
"366",2011,"","O S Litten Tree",NA,""
"367",2011,"","O S Litten Tree S C Town Centre",NA,""
"368",2011,"","O S Moomoo Bar S C Town Centre",NA,""
"369",2011,"","O S Moomoo Bar South Parade",NA,""
"370",2011,"","O S Retro",NA,""
"371",2011,"","O S Retro South Parade",NA,""
"372",2011,"","O S Retros",NA,""
"373",2011,"","O S Royal Hotel Lichfield rd.","O S Royal Hotel Lichfield str.",""
"374",2011,"","O S Temple Bar",NA,""
"375",2011,"","O S Temple Bar",NA,""
"376",2011,"","O S Temple Bar High str.","O S Temple Bar High Str",""
"377",2011,"","O S Temple Bar Lower Parade Sutton Coldfield",NA,""
"378",2011,"","O S Temple Bar S C Town Centre",NA,""
"379",2011,"","O S Temple Bar Sutton Coldfield West Milands",NA,""
"380",2011,"","O S The Hairy Lemon",NA,""
"381",2011,"","On Pavement Outside The Royal Hotel",NA,""
"382",2011,"","Ourtside Royal Pub Lichfield rd. Sutton Coldfield","Ourtside Royal Pub Lichfield str. Sutton Coldfield",""
"383",2011,"","Outside Glendale Tower Lyndhurst Estate",NA,""
"384",2011,"","Outside Litten Tree Pub Birmingham rd. Sutton Coldfield","Outside Litten Tree Pub Birmingham str. Sutton Coldfield",""
"385",2011,"","Outside Moo Moo Club Town Centre Sutton Coldfield",NA,""
"386",2011,"","Outside Moo Moo Night Club South Parade",NA,""
"387",2011,"","Outside Temple Parade Lower Parade",NA,""
"388",2011,"","Outside The Temple Bar Lower Parade Sc",NA,""
"389",2011,"","Parade Sutton Coldfield",NA,""
"390",2011,"","Parade Sc",NA,""
"391",2011,"","Parade Sutton Coldfield",NA,""
"392",2011,"","Parade Sutton Coldfield",NA,""
"393",2011,"","Parade Sutton Coldfield",NA,""
"394",2011,"","Parade Sutton Town",NA,""
"395",2011,"","Parade Sutton Coldfield",NA,""
"396",2011,"","Parade Sutton Coldfield",NA,""
"397",2011,"","Parade Sutton Town Centre",NA,""
"398",2011,"","Parkeston Crescent Kinsgatnding B Ham",NA,""
"399",2011,"","Plants Grove Erdington",NA,""
"400",2011,"","Pype Hayes rd. Pype Hayes B Ham","Pype Hayes str. Pype Hayes B Ham",""
"401",2011,"","Pype Hayes rd. Pype Hayes B Ham","Pype Hayes str. Pype Hayes B Ham",""
"402",2011,"","Pype Hayes rd. Pype Hayes B Ham","Pype Hayes str. Pype Hayes B Ham",""
"403",2011,"","Queen str.","Queen Str",""
"404",2011,"","Queen str.","Queen Str",""
"405",2011,"","Queen str.","Queen Str",""
"406",2011,"","Queen str.","Queen Str",""
"407",2011,"","Queen str. Sutton Coldfield Town Centre","Queen Str Sutton Coldfield Town Centre",""
"408",2011,"","Queslett rd. East","Queslett str. East",""
"409",2011,"","Redacre str. Boldmere","Redacre Str Boldmere",""
"410",2011,"","Reservoir rd.","Reservoir str.",""
"411",2011,"","Ridgeway",NA,""
"412",2011,"","Slade rd. Erdington B Ham","Slade str. Erdington B Ham",""
"413",2011,"","Slade rd. Erdington B Ham","Slade str. Erdington B Ham",""
"414",2011,"","Soth Parade Sutton Coldfield",NA,""
"415",2011,"","Soth Parade Sutton Coldfield",NA,""
"416",2011,"","South Parade",NA,""
"417",2011,"","South Parade",NA,""
"418",2011,"","South Parade",NA,""
"419",2011,"","South Parade",NA,""
"420",2011,"","South Parade",NA,""
"421",2011,"","South Parade",NA,""
"422",2011,"","South Parade",NA,""
"423",2011,"","South Parade",NA,""
"424",2011,"","South Parade",NA,""
"425",2011,"","South Parade",NA,""
"426",2011,"","South Parade",NA,""
"427",2011,"","South Parade",NA,""
"428",2011,"","South Parade Εδύε Town Centre Sutton Coldfield",NA,""
"429",2011,"","South Parade Sutton Coldfield",NA,""
"430",2011,"","South Parade Sutton Coldfield",NA,""
"431",2011,"","South Parade Sutton Town Centre",NA,""
"432",2011,"","South Parade Sutton Coldfield",NA,""
"433",2011,"","South Parade Sutton Coldfield",NA,""
"434",2011,"","South Parade Sutton Coldfield",NA,""
"435",2011,"","South Parade Sutton Coldfield",NA,""
"436",2011,"","South Parade Sutton Coldfield",NA,""
"437",2011,"","South Parade Sutton Coldfield",NA,""
"438",2011,"","South Parade Sutton Coldfield",NA,""
"439",2011,"","South Parade Sutton Coldfield",NA,""
"440",2011,"","South Parade Sutton Coldfield",NA,""
"441",2011,"","South Parade Sutton Coldfield",NA,""
"442",2011,"","South Parade Sutton Coldfield",NA,""
"443",2011,"","South Parade Sutton Town Centre",NA,""
"444",2011,"","South Parade Town Centre Sutton Coldfield",NA,""
"445",2011,"","Stornaway rd. Castle Vale","Stornaway str. Castle Vale",""
"446",2011,"","Streetley rd. Erdington","Streetley str. Erdington",""
"447",2011,"","Sumburgh Croft",NA,""
"448",2011,"","Sutton Coldfield Town Centre",NA,""
"449",2011,"","Sutton Coldfield Town Centre",NA,""
"450",2011,"","Sutton New rd.","Sutton New str.",""
"451",2011,"","Sutton New rd. Erdington","Sutton New str. Erdington",""
"452",2011,"","Sutton New rd. Erdington","Sutton New str. Erdington",""
"453",2011,"","Sutton New rd. Erdington","Sutton New str. Erdington",""
"454",2011,"","Sutton New rd. Erdington B Ham","Sutton New str. Erdington B Ham",""
"455",2011,"","Sutton Parade",NA,""
"456",2011,"","Sutton Parade",NA,""
"457",2011,"","Sutton Parade",NA,""
"458",2011,"","Sutton Town Centre",NA,""
"459",2011,"","Sutton Town Centre",NA,""
"460",2011,"","Sutton Town Centre",NA,""
"461",2011,"","Sutton Town Centre",NA,""
"462",2011,"","Sutton Town Centre",NA,""
"463",2011,"","Tedbury Crescent",NA,""
"464",2011,"","Tesco S Express Walsall rd. Four Oaks Sutton Coldfield","Tesco S Express Walsall str. Four Oaks Sutton Coldfield",""
"465",2011,"","The Parade",NA,""
"466",2011,"","The Parade",NA,""
"467",2011,"","The Parade",NA,""
